Year ,KLK_Reconstruction_Flow_AF,KLK_Lower_50_Percent_Flow_AF,KLK_Upper_50_Percent_Flow_AF,TRN_Reconstruction_Flow_AF,TRN_Lower_50_Percent_Flow_AF,TRN_Upper_50_Percent_Flow_AF,KFL_Reconstruction_Precip_Inches,KFL_Lower_50_Percent_Precip_Inches,KFL_Upper_50_Percent_Precip_Inches,KFS_Reconstruction_Precip_Inches,KFS_Lower_50_Percent_Precip_Inches,KFS_Upper_50_Percent_Precip_Inches,WEA_Reconstruction_Precip_Inches,WEA_Lower_50_Percent_Precip_Inches,WEA_Upper_50_Percent_Precip_Inches,YRK_Reconstruction_Precip_Inches,YRK_Lower_50_Percent_Precip_Inches,YRK_Upper_50_Percent_Precip_Inches,FTO_Reconstruction_Flow_AF,FTO_Lower_50_Percent_Flow_AF,FTO_Upper_50_Percent_Flow_AF,YRS_Reconstruction_Flow_AF,YRS_Lower_50_Percent_Flow_AF,YRS_Upper_50_Percent_Flow_AF,AMF_Reconstruction_Flow_AF,AMF_Lower_50_Percent_Flow_AF,AMF_Upper_50_Percent_Flow_AF,SBB_Reconstruction_Flow_AF,SBB_Lower_50_Percent_Flow_AF,SBB_Upper_50_Percent_Flow_AF,SAC4_Reconstruction_Flow_AF,SAC4_Lower_50_Percent_Flow_AF,SAC4_Upper_50_Percent_Flow_AF,SNS_Reconstruction_Flow_AF,SNS_Lower_50_Percent_Flow_AF,SNS_Upper_50_Percent_Flow_AF,TLG_Reconstruction_Flow_AF,TLG_Lower_50_Percent_Flow_AF,TLG_Upper_50_Percent_Flow_AF,MRC_Reconstruction_Flow_AF,MRC_Lower_50_Percent_Flow_AF,MRC_Upper_50_Percent_Flow_AF,SJF_Reconstruction_Flow_AF,SJF_Lower_50_Percent_Flow_AF,SJF_Upper_50_Percent_Flow_AF,SJQ4_Reconstruction_Flow_AF,SJQ4_Lower_50_Percent_Flow_AF,SJQ4_Upper_50_Percent_Flow_AF
900,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3889100,2802500,5134700,2033200,1423800,2566000,2269200,1542100,2967500,7830900,6170200,10083000,15866000,11781000,20011000,972020,677540,1247900,1592500,1179200,2015400,798010,553960,1058200,1493500,1087700,1958900,4822100,3483500,6222300
901,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6521200,5384300,8078900,3405500,2773900,3996200,4156700,3339500,4990100,11461000,9428200,14196000,25590000,21184000,30994000,1772500,1474900,2243100,2849300,2363500,3484700,1523100,1216200,1918000,2741500,2056400,3375500,8860200,7057900,10771000
902,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3936500,2839400,5194200,2031100,1422300,2563400,2265300,1539000,2962200,7876200,6207600,10139000,15991000,11879000,20161000,964090,671870,1236100,1571200,1162700,1984100,785200,544770,1039200,1471500,1072300,1927000,4760300,3438200,6134500
903,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5756100,4458600,7312000,2947600,2219800,3574600,3449900,2598400,4390000,10362000,8434300,13045000,22725000,18046000,28164000,1479700,1141800,1931200,2351500,1847200,2989400,1250600,937780,1651800,2384100,1799000,3010000,7363200,5694900,9469000
904,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5769700,4474000,7326000,2920300,2188400,3548300,3408600,2556300,4352600,10493000,8554700,13184000,22780000,18104000,28222000,1459100,1120000,1907200,2307300,1803100,2942100,1216300,904720,1613400,2310200,1735200,2935200,7212000,5551400,9314400
905,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5569400,4248800,7117800,2797300,2052300,3423800,3219000,2364900,4152100,10218000,8300700,12891000,22006000,17284000,27402000,1355600,1011900,1780400,2130500,1633900,2738700,1101400,798630,1479000,2119900,1572700,2741200,6631800,5002000,8659400
906,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6190100,4951600,7752500,3065600,2356100,3687800,3588200,2739300,4514900,10991000,9014300,13707000,24260000,19670000,29715000,1517700,1182000,1975500,2373500,1869300,3013000,1243200,930650,1643600,2411800,1822900,3037900,7426600,5755200,9533900
907,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4165300,3017200,5475000,1975400,1384100,2494800,2179800,1481000,2846200,8117100,6406100,10448000,16893000,12596000,21233000,935550,651640,1194700,1531000,1131900,1926200,755730,523750,996750,1449600,1056900,1895100,4642200,3352100,5967300
908,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3429800,2491100,4475700,1782000,1252100,2255300,2010200,1371700,2617200,6851600,5433400,8716100,14164000,10597000,17674000,887260,617870,1129700,1482400,1094800,1859400,757080,524710,998650,1411700,1030400,1841400,4516400,3260900,5793100
909,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3640500,2624100,4791200,2085400,1463900,2626500,2354600,1612700,3076700,7305400,5746300,9418800,15001000,11146000,18859000,1024000,716480,1321100,1708700,1271300,2180800,881530,616750,1180100,1622400,1185400,2136300,5183900,3758700,6743000
