Year,Arroyo_Seco_Reconstruction_Flow_TAF,Arroyo_Seco_Lower_50Percent_Flow_TAF,Arroyo_Seco_Flow_Upper_50Percent_Flow_TAF,SanGab_Reconstruction_Precip_inches,SanGab_Flow_Lower_50Percent_Precip_inches,SanGab_Flow_Upper_50Percent_Precip_inches,SantaAna_Reconstruction_Flow_TAF,SantaAna_Lower_50Percent_Flow_TAF,SantaAna_Upper_50Percent_Flow_TAF,LakeArrow_Reconstruction_Precip_inches,LakeArrow_Lower_50Percent_Precip_inches,LakeArrow_Upper_50Percent_Precip_inches,Ojai_Reconstruction_Precip_inches,Ojai_Lower_50Percent_Precip_inches,Ojai_Upper_50Percent_Precip_inches,Cuyam_Reconstruction_Precip_inches,Cuyam_Lower_50Percent_Precip_inches,Cuyam_Upper_50Percent_Precip_inches,Kern_Reconstruction_Flow_TAF,Kern_Lower_50Percent_Flow_TAF,Kern_Upper_50Percent_Flow_TAF,Colo_Reconstruction_Flow_TAF,Colo_Lower_50Percent_Confidence_Flow_TAF,Colo_Upper_50Percent_Confidence_Flow_TAF
1116,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21022.672,18563.739,23555.608
1117,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21474.603,19038.744,24007.123
1118,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18001.101,15328.909,20556.740
1119,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16284.796,13811.850,18775.425
1120,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16213.636,13750.575,18697.363
1121,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11185.892,9071.533,13525.811
1122,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14695.041,12342.093,17094.556
1123,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11993.574,9822.140,14346.984
1124,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13017.274,10778.488,15381.769
1125,10.772,5.830,20.342,-999,-999,-999,66.439,45.025,103.237,-999,-999,-999,-999,-999,-999,-999,-999,-999,849.719,652.883,1082.287,11728.211,9573.876,14078.048
1126,2.300,1.555,3.956,12.46,8.82,18.82,17.893,12.808,23.820,16.69,12.58,22.89,11.70,9.21,14.61,17.50,12.58,21.70,268.077,200.368,446.817,11012.213,8911.166,13348.439
1127,2.442,1.510,4.586,20.42,15.65,27.80,20.551,14.332,28.519,30.42,23.58,41.13,13.89,10.72,17.66,22.17,16.62,26.81,307.344,228.719,490.705,13323.752,11057.648,15693.187
1128,4.894,2.251,10.882,27.61,21.48,36.02,36.214,22.481,58.329,43.09,32.24,57.00,20.70,15.57,26.86,31.17,24.43,38.95,598.579,449.943,812.674,18145.501,15477.205,20695.448
1129,6.566,3.173,13.678,25.02,19.12,33.29,39.632,24.767,63.977,40.28,30.54,54.15,21.81,16.44,28.28,33.74,26.70,42.35,613.188,461.571,828.704,17427.498,14804.326,20001.786
1130,2.797,1.369,6.186,20.27,15.53,27.64,27.387,18.232,40.729,28.09,21.69,37.93,14.69,11.25,18.78,26.59,20.43,32.69,413.049,306.409,608.216,12833.129,10608.638,15195.417
1131,5.061,2.344,11.175,24.47,18.62,32.66,33.762,20.836,54.296,39.99,30.36,53.85,19.77,14.85,25.64,32.35,25.48,40.53,551.411,412.647,760.846,10376.080,8326.893,12698.784
1132,2.720,1.404,5.834,19.39,14.85,26.65,24.999,16.873,36.440,27.87,21.52,37.62,14.25,10.96,18.17,25.16,19.20,30.77,374.924,278.105,565.929,11177.781,9064.036,13517.528
1133,2.248,1.568,3.726,15.94,12.27,22.76,16.139,11.799,21.915,24.06,18.52,32.23,11.96,9.39,14.96,19.39,14.23,23.59,222.625,166.150,397.444,12369.511,10175.078,14727.009
1134,2.337,1.544,4.119,19.79,15.16,27.11,19.117,13.511,25.984,29.55,22.87,39.94,13.38,10.38,16.95,20.71,15.36,24.91,288.822,215.317,470.014,11730.944,9576.411,14080.827
1135,2.554,1.470,5.088,20.76,15.92,28.17,21.193,14.699,29.655,32.36,25.16,43.78,14.32,11.00,18.27,22.61,17.01,27.40,309.099,229.991,492.662,12269.932,10081.591,14626.399
1136,3.424,1.350,8.297,24.04,18.41,31.98,29.224,19.028,44.516,37.15,28.30,50.84,18.33,13.92,23.49,29.92,23.33,37.23,434.659,322.696,632.102,13141.912,10892.709,15508.064
1137,3.135,1.310,7.457,23.83,18.35,31.66,29.682,19.135,45.639,34.42,26.55,47.06,16.95,12.95,21.65,28.06,21.71,34.69,458.934,341.071,658.929,16710.526,14176.769,19239.763
1138,5.516,2.598,11.962,25.02,19.13,33.29,38.968,24.323,62.877,38.03,28.97,51.84,19.86,14.92,25.76,34.17,27.09,42.91,642.621,484.791,861.088,16041.857,13602.643,18507.108
1139,2.907,1.350,6.604,20.60,15.79,28.00,27.220,18.137,40.429,30.37,23.54,41.06,15.04,11.52,19.23,25.42,19.42,31.12,399.002,295.896,592.666,14924.128,12559.401,17332.223
1140,3.272,1.278,7.973,23.99,18.39,31.90,29.876,19.180,46.116,34.93,26.80,47.94,17.01,12.99,21.73,28.68,22.24,35.52,436.645,324.199,634.296,11431.017,9298.494,13775.683
